,ingr_name,Название категории
Куриное яйцо; Яичный желток; Яичный белок; Куриное яйцо (крупное),336,Яйца
Пшеничная мука,272,Мука
Сливочное масло,260,Сливочное масло?
Чеснок,194,Чеснок
Репчатый лук; Красный лук; Зеленый лук; Лук; Лук-порей; Белый лук,304,Лук
"Молоко; Жирное молоко; Молоко 3,5%-ное; Молоко 3,2%-ное",115,Молоко
Морковь,96,Морковь
Помидоры; Помидоры черри; Крупные помидоры черри; Красные помидоры черри; Помидоры пелати,112,Помидоры
Картофель; Отварной картофель; Картофельное пюре; Молодой картофель,86,Картофель
Сметана; Сметана 20%-ная,71,Сметана
Куриное филе; Куриный бульон; Куриная грудка; Курица; Куриная голень; Куриные окорочка; Куриные бедра; Куриные ножки; Куриный фарш; Филе куриной грудки; Курица,112,Курица
Сыр; Твердый сыр; Тертый сыр пармезан; Сыр пармезан; Копченый сыр сулугуни; Швейцарский сыр; Легкий сыр «Ламбер»  15%-ной жирности; Сыр эдам; Пошехонский сыр; Сыр брынза; Творожный сыр; Российский сыр; Сыр эмменталь; Козий сыр; Сыр горгонзола; Имеретинский сыр; Сыр фета; Сыр чеддер; Сыр маскарпоне; Сыр сулугуни; Сливочный сыр; Сыр моцарелла,92,Сыр
Яблоко,31,Яблоко
Огурцы,23,Огурцы
Баклажаны,21,Баклажаны
Тыква,17,Тыква
Капуста брокколи,14,Брокколи
Кабачки,14,Кабачок
Белокочанная капуста,12,Капуста
Авокадо,10,Авокадо
Цветная капуста,10,Цветная капуста
Сливки 25%-ные; Сливки 30%-ные; Сливки 10%-ные; Сливки 33%-ные; Сливки 35%-ные; Сливки; Сливки 20%-ные,7,Сливки
Круглый рис; Длиннозерный рис; Рис арборио; Рис,3,Рис
Творог 9%-ный; Мягкий обезжиренный творог; Мягкий творог; Творог,2,Творог
Сушеные белые грибы; Грибы шиитаке; Вешенки; Белые грибы; Лисички; Свежие грибы; Свежие шампиньоны; Шампиньоны,2,Грибы
Голень индейки; Филе индейки; Индейка,1,Индейка
Мидии; Кальмары; Королевские креветки; Очищенные вареные креветки; Замороженные мидии; Мини кальмары; Коктейль из морепродуктов; Очищенные креветки; Тигровые креветки; Крабовые палочки; Креветки,1,Морепродукты
Баранья нога; Филе баранины; Баранина на кости; Курдючное сало; Бараний фарш; Баранья лопатка; Баранина,5,Баранина
Паста пипе ригате; Паста паппарделле; Лапша; Вермишель; Паста ореккьетте; Паста каннеллони; Макароны; Паста тальятелле; Паста феттучини; Спагетти,4,Макаронные изделия
Свиные отбивные; Свиные сосиски; Копченый бекон; Вареная ветчина; Варено-копченая ветчина; Свиной окорок; Свиная грудинка; Свиная вырезка; Свиная шея; Свиной фарш; Свинина; Бекон; Ветчина,6,Свинина
Рыбные консервы; Филе сельди; Дорада; Печень трески; Хек; Соленый лосось; Филе анчоуса; Слабосоленый лосось; Филе белой рыбы; Копченая форель; Филе судака; Филе семги; Форель; Сельдь; Филе трески; Тунец; Лосось; Филе лосося; Анчоусы; Сибас; Слабосоленая семга; Семга; Консервированный тунец в собственном соку,9,Рыба
Телячий язык; Говяжье филе; Говяжьи кости; Бычий хвост; Говяжьи голяшки; Телячья вырезка; Говяжья шейка; Телячьи отбивные; Огузок говяжий; Говяжья лопатка; Телячий фарш; Говяжья грудинка; Телятина; Говяжья вырезка; Говяжий фарш; Говяжий бульон; Говядина,9,Говядина