recipe_id,recipe_name,ingredients,quantity,text
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Куриное филе,500 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Кабачки,250 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Лук,180 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Сыр,150 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Чеснок,3 зуб.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Майонез,70 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Соль,3 гр.,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
0,Курица с кабачками в духовке рецепт на 4 порции (Европейская кухня),Специи,по вкусу,"Куриное филе нарезать тонкими ломтиками, после чего хорошо отбить. Кабачок промыть и нарезать колечками потоньше, тоже самое сделать и с луком.Пропустить через пресс чеснок, затем смешать его со специями, солью, и майонезом. Обязательно сделать это в отдельной емкости.Смазать растительным маслом форму для запекания, после чего выложить в ней сначала политый соусом слой из курицы, затем выложить лук, далее кабачки. Смазать остатками соуса из майонеза и отправить форму на пятнадцать минут в разогретую до 180 градусов духовку.Когда блюдо запечется, достать форму и посыпать тертым сыром, и, для образования сырной корочки, отправить в духовку еще на 10 минут.Теперь блюдо можно подавать на стол."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Вода тёплая,250 мл.,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Сёмга или другая красная рыба,200-300 гр.,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Красная чечевица,50 гр.,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Морковь,1/2 часть,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Лук,1/4 часть,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Картофель,3 шт.,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Томат,1 шт.,"Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),"Соль, перец","по вкусу, 1/4 лимона, укроп","Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
1,Суп из сёмги с красной чечевицей рецепт на 3 порции (Европейская кухня),Вода ,"1,5 литра.","Рыбу, картофель лук и помидор нарезать кубиками.В холодную воду добавить картофель, рыбу и чечевицу. Довести до кипения и немного проварить. Посолить.В сковороде, смазанной маслом, обжарить лук, морковь, помидор.За 10 минут до окончания варки добавить в суп обжаренные овощи, посолить, поперчить по вкусу.Можно так же добавить лавровый лист, но я ее тоже не сильно люблю, как и лук, поэтому не добавляю. И без нее очень-очень вкусно!За пару минут до окончания варки добавить нарезанный укроп и четвертинку сока лимона. Подавать горячим."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Йогурт густой,100 г,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Яйцо,1 шт.,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Масло растительное,100 мл,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Крахмал,1 ст.л.,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Соль,щепотка,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Уксус яблочный,1 ст. л.,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
2,Турецкая пахлава рецепт на 4 порции (Европейская кухня),Разрыхлитель,1 ч.л.,"В миске смешать яйцо, йогурт, растительное масло, крахмал.Добавить просеянную муку, соль, разрыхлитель, уксус.Замесить мягкое, эластичное тесто, Муки может понадобиться чуть больше/меньше.Тесто положить в пакет и оставить на 10 минут при комнатной температуре.Затем тесто поделить на 10 равных частей, каждую подкатать в круглый шарик, нарыть пленкой.Далее брать по одному кусочку теста и раскатывать в лепешку d 20 см на рабочем столе, посыпанном крахмалом ,складывать друг на друга в стопочку, очень щедро пересыпая каждую лепешку крахмалом.Сложенные таким образом заготовки раскатать уже в одну большую лепешку, придавая ей форму прямоугольника, размером 52/36 см. Ширина раскатки 2 мм.Затем скрутить пласт теста в плотный рулет с меньшей стороны.Разрезать рулет на шайбочки по 1.5 см.Каждую шайбочку раскатать в овальчик, на один край положить 1 ч.л. начинки, накрыть другой частью, концы слегка прижать.Выложить заготовки на противень, щедро полить каждую растопленным сливочным маслом.Выпекать при t 170 гр до румяности около 25 -30 минут.Ориентируйтесь на особенности своей духовки.Горячую пахлаву на противне обильно полить сиропом и оставить для пропитки часа на 2-3."
